iter	Passed	Remaining
0	1	149
1	3	149
2	4	140
3	5	130
4	6	130
5	8	128
6	9	126
7	10	124
8	12	121
9	13	119
10	14	118
11	16	117
12	17	116
13	18	114
14	19	113
15	21	111
16	22	110
17	23	108
18	25	107
19	26	105
20	27	104
21	29	103
22	30	102
23	32	102
24	33	100
25	34	99
26	36	98
27	37	96
28	38	95
29	40	93
30	41	92
31	43	91
32	44	90
33	45	88
34	47	87
35	48	86
36	50	85
37	51	83
38	52	82
39	53	80
40	55	80
41	56	77
42	57	76
43	58	75
44	60	73
45	61	72
46	63	71
47	64	69
48	65	68
49	67	67
50	69	66
51	70	65
52	72	64
53	73	62
54	74	60
55	75	59
56	77	58
57	78	57
58	80	55
59	81	54
60	83	53
61	84	52
62	86	50
63	87	49
64	88	47
65	90	46
66	91	45
67	93	43
68	94	42
69	96	41
70	97	39
71	99	38
72	100	37
73	101	35
74	103	34
75	105	33
76	106	31
77	108	30
78	110	29
79	111	27
80	112	26
81	114	25
82	116	23
83	117	22
84	119	21
85	121	19
86	122	18
87	124	16
88	126	15
89	127	14
90	129	12
91	130	11
92	132	9
93	133	8
94	134	7
95	136	5
96	137	4
97	139	2
98	140	1
99	142	0
